run_dir,scene,uav_num,method,instance,communication_threshold_m,activation_script,prct_enable_retry_suppression,prct_enable_peer_takeover,pilot_completed,completion_observed_all,finish_count,makespan_s_proxy,astar_failure_diagnostic_count,astar_open_set_exhausted_count,astar_repeated_goal_count,astar_max_goal_failures,trajectory_plan_failure_count,trajectory_plan_astar_failure_count,explore_failure_count,explore_success_count,lkh_failure_count,lkh_success_count,lkh_duration_p95_wall_s,allocation_assignment_count,allocation_candidate_set_count,takeover_sent,takeover_received,takeover_executed,takeover_dropped,takeover_targets,receipt_sent_count,receipt_received_count,receipt_accepted,receipt_completed,receipt_rejected,receipt_aborted,receipt_stale,handoff_fallback_count,peer_reachability_query_count,wait_events_count,wait_transitions_count,wait_exit_count,wait_duration_total_wall_s,wait_duration_p50_wall_s,wait_duration_p95_wall_s,retry_suppression_register,retry_suppression_skip,takeover_suppressed,trajectory_end_frontier_covered,trajectory_end_periodic_replan,event_trajectory_start,event_trajectory_end,json_parse_error_count
/home/c2dev/c2_explorer_reproduction/logs/reachability_retry/formal/cubicle_office/uav_4/b0_cubicle_office_uav4_run_001,cubicle_office,4,b0,001,5.0,/home/c2dev/c2_explorer_reproduction/scripts/activate_reachability_retry.sh,false,false,1,1,4,75.09740948677063,0,0,0,0,0,0,4,274,0,497,0.050569199999999995,26,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,0,0,0,268,6,291,274,0
/home/c2dev/c2_explorer_reproduction/logs/reachability_retry/formal/cubicle_office/uav_4/b0_cubicle_office_uav4_run_003,cubicle_office,4,b0,003,5.0,/home/c2dev/c2_explorer_reproduction/scripts/activate_reachability_retry.sh,false,false,1,1,4,76.4599781036377,0,0,0,0,0,0,5,267,0,501,0.29446725,43,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,0,0,0,260,7,283,267,0
/home/c2dev/c2_explorer_reproduction/logs/reachability_retry/formal/cubicle_office/uav_4/b0_cubicle_office_uav4_run_004,cubicle_office,4,b0,004,5.0,/home/c2dev/c2_explorer_reproduction/scripts/activate_reachability_retry.sh,false,false,1,1,4,59.65619254112244,4,4,0,1,5,4,8,245,0,449,0.0394525,30,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,0,0,0,234,7,289,242,0
/home/c2dev/c2_explorer_reproduction/logs/reachability_retry/formal/cubicle_office/uav_4/b0_cubicle_office_uav4_run_005,cubicle_office,4,b0,005,5.0,/home/c2dev/c2_explorer_reproduction/scripts/activate_reachability_retry.sh,false,false,1,1,4,69.50633025169373,0,0,0,0,0,0,4,287,0,481,0.040399399999999995,21,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,0,0,0,276,11,303,287,0
/home/c2dev/c2_explorer_reproduction/logs/reachability_retry/formal/cubicle_office/uav_4/b0_cubicle_office_uav4_run_006,cubicle_office,4,b0,006,5.0,/home/c2dev/c2_explorer_reproduction/scripts/activate_reachability_retry.sh,false,false,1,1,4,73.90903186798096,7,7,0,1,7,7,11,261,0,466,0.036796499999999996,27,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,0,0,0,254,6,283,260,0
/home/c2dev/c2_explorer_reproduction/logs/reachability_retry/formal/cubicle_office/uav_4/b0_cubicle_office_uav4_run_007,cubicle_office,4,b0,007,5.0,/home/c2dev/c2_explorer_reproduction/scripts/activate_reachability_retry.sh,false,false,1,1,4,80.90932607650757,0,0,0,0,0,0,4,298,0,520,0.0370205,18,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,0,0,0,287,11,337,298,0
/home/c2dev/c2_explorer_reproduction/logs/reachability_retry/formal/cubicle_office/uav_4/b0_cubicle_office_uav4_run_008,cubicle_office,4,b0,008,5.0,/home/c2dev/c2_explorer_reproduction/scripts/activate_reachability_retry.sh,false,false,1,1,4,72.27647376060486,21,21,4,2,21,21,26,293,0,512,0.04357509999999999,36,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,0,0,0,280,11,323,292,0
/home/c2dev/c2_explorer_reproduction/logs/reachability_retry/formal/cubicle_office/uav_4/b0_cubicle_office_uav4_run_009,cubicle_office,4,b0,009,5.0,/home/c2dev/c2_explorer_reproduction/scripts/activate_reachability_retry.sh,false,false,1,1,4,63.55218315124512,0,0,0,0,0,0,5,273,0,479,0.03598175,17,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,0,0,0,268,5,291,273,0
/home/c2dev/c2_explorer_reproduction/logs/reachability_retry/formal/cubicle_office/uav_4/b0_cubicle_office_uav4_run_010,cubicle_office,4,b0,010,5.0,/home/c2dev/c2_explorer_reproduction/scripts/activate_reachability_retry.sh,false,false,1,1,4,74.17046809196472,0,0,0,0,0,0,4,271,0,473,0.08371834999999997,22,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,0,0,0,255,16,295,271,0
/home/c2dev/c2_explorer_reproduction/logs/reachability_retry/formal/cubicle_office/uav_4/b0_cubicle_office_uav4_run_011,cubicle_office,4,b0,011,5.0,/home/c2dev/c2_explorer_reproduction/scripts/activate_reachability_retry.sh,false,false,1,1,4,79.48679852485657,13,13,0,1,13,13,18,281,0,480,0.030598399999999998,18,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,0,0,0,275,5,294,280,0
